HDFS ItemWriter Base integration of core HDFS writer functionality with Spring Batch.,XD-1,
"Add support to retrieve job details As an XD user, I'd like to click to go the detail page of the job page whether or not the selected entity is singular or part of a composed job.",XD-3576,
"Add support to restart job composition As an XD user, I'd like have support restart an existing composed job, so I could re launch it at will.",XD-3578,
Add support for creating named cron triggers Simple cron based triggers,XD-358,
"Spike Explore options to setup bare metal deployment of s c d using Lattice As a s c d developer, I'd like to explore options to bootstrap and setup Lattice based infrastructure for s c d s bare metal deployment.",XD-3580,
"Add support for Tuple and JSON SpEL property accessors in As a user, I'd like to build stream definitions using dot delimited syntax for resolving properties for Tuple and JSON.",XD-3581,
"Add support for tab completion in shell As an s c d user, I'd like to have tab completion on shell, so I can interact with the modules and its available options.",XD-3582,
"Implement Mesos SPI As an s c d user, I'd like to deploy s c d on Mesos.",XD-3583,
"Move Redis Rule to a separate repo As an s c d developer, I'd like to move redis to a separate repo, so I can consume the test fixtures in different projects.",XD-3585,
"Move Kafka Rule to a separate repo As an s c d developer, I'd like to move kafka to a separate repo, so I can consume the test fixtures in different projects.",XD-3586,
"Move Rabbit Rule to a separate repo As an s c d developer, I'd like to move rabbit to a separate repo, so I can consume the test fixtures in different projects.",XD-3587,
Add support for creating a spring batch job that has an embedded trigger expression Add support for creating a spring batch job that has an embedded trigger expression ,XD-359,
"Harmonize REST features between deployment profiles As an s c d user, I'd like to take advantage of admin running on variety of platforms such as Lattice, YARN or CF. I'd like to access REST APIs consistently across these platforms.",XD-3592,
"Add support to register artifacts as libraries As a SCDF user, I want to be able to register artifacts as libraries, so that I can reference them in include and exclude statements.",XD-3593,
"Add support for named channels As an s c d user, I'd like to have the option to use named channels , so I can create streaming pipelines without source or sink modules. ",XD-3594,
"Add test coverage for StreamController As a s c d developer, I'd like to add test coverage for , so I can verify API contracts at build time. ",XD-3595,
"Prevent streams with duplicate name As a s c d user, I should be prevented from creating streams with duplicate name. I d expect streams to have unique names all the time. ",XD-3596,
"Separate Lifecycle of Input and Output adapter endpoints Described in As a developer, I want Input enpoints to be started after all the beans in the context, so that received messages can be delivered to components. ",XD-3597,
SI Outbound HDFS Channel Adapter ,XD-36,
Add support for creating a spring batch job that references a named trigger ,XD-360,
"JMX MBean name clash when using labels with s c d deployment We need to make sure that JMX MBean names are unique, even in the case of labeled modules. The following stream fails for example http filter filter2 filter log A good candidate could be stream name group module label.",XD-3601,
"Port Log as s c s sink As a developer, I'd like to port modules to build streaming pipeline.",XD-3602,
"Implement parser for Job DSL As a XD user, I'd like to have job DSL as an option, so I can leverage the DSL to create comprehensive workflows and orchestrate jobs. ",XD-3603,
"Port as s c s sink As a developer, I'd like to port module to build streaming pipeline.",XD-3605,
"Port aggregate counter as s c s sink As a developer, I'd like to port module to build streaming pipeline.",XD-3606,
"Port Gauge as s c s sink As a developer, I'd like to port module to build streaming pipeline.",XD-3607,
"Port rich gauge as s c s sink As a developer, I'd like to port module to build streaming pipeline.",XD-3608,
Create a trigger from Shell Create a trigger from Shell ,XD-361,
"Add standardized way to pass props from Deployers Admin to ModuleLauncher There is a need to customize the ModuleLauncher behavior itself, NOT pass options to modules that are launched, which is already supported for example to set the location of the maven repository. ",XD-3616,
Update build to use SHDP 2.3.0.RC1 ,XD-3617,
"Add runtime info shell command As a s c d user, I'd like to have and the like.",XD-3618,
"Study YARN SPI gaps As a s c d user, I'd like to deploy data flow on YARN, so I can reuse the existing Hadoop cluster and leverage data flow features to build streaming or batch pipelines.",XD-3619,
"Port File as s c s source As a developer, I'd like to port module to build streaming pipeline.",XD-3622,
"Add support to build Admin with individual SPI deployers As a s c d developer, I'd like to break the build lifecycle to bundle SPI deployers individually, so I don t have to build with all the deployer variations as one whole thing.",XD-3624,
"Get rid of XDRuntimeException As a developer, I'd like to get rid off from XD.",XD-3627,
Add support for creating fixed delay fixed rate triggers Add support for creating fixed delay fixed rate triggers ,XD-363,
"Upgrade GF sink to 8.2 As a user, I'd like to use the latest release of sink, so I can create a streaming pipeline to land data in gemfire. ",XD-3631,
"Add SFTP source to default registry As a user, I'd like to use SFTP source module, so I can create streaming pipeline with it. However, I cannot see SFTP as OOTB module listed on and as well as the module bits are not available in maven repo ",XD-3633,
"Resolve remaining gaps with CI As a developer, I'd like to resolve remaining gaps wrt CI pipelines for Data Flow and the family, so I can continuously evaluate functionalities on every commit.",XD-3635,
"Add support for global options in DSL As a Flo user, I'd like to have as global options at the DSL level, so I can override the defaults at will. ",XD-3636,
"Upgrade to SI 4.2.1 As a developer, I'd like to upgrade to SI 4.2.1 release, so I can take advantage of the latest improvements.",XD-3637,
Create bridge processor See This is needed to support channel channel type constructs,XD-3639,
Create TriggerDefinition Repository Redis based.,XD-364,
"Job composition improvements As a developer, I'd like to review and refactor , so I can improve performance characteristics. ",XD-3641,
"Add test coverage for batch DSL and XML generation variants As a developer, I'd like to enhance test coverage to capture DSL and XML generation variants. ",XD-3644,
"Make SpEL usage consistent across all including custom modules As a user, I'd like to use SpEL expressions inline at the stream definition level, so I can operate on the payload consistently while using any OOTB, including the custom modules. ",XD-3649,
Support having multiple property placeholders defined in different modules Right now the PPC for jolokia mgmt is conflicting with the PPC used to resolve redis properties. Need to determine a strategy such that multiple PPCs can be used.,XD-365,
"Documentation Flo for XD Batch As a user, I'd like to refer to job orchestration documentation, so I can use it as guideline for building batch workflows. ",XD-3654,
"Add undeployed status for YARN SPI As a developer, I'd like to add state.",XD-3656,
"Create admin artifact for each Hadoop distro As a developer, I'd like to split artifact packaged with hadoop distro specific libraries, so I could avoid adding all variations of hadoop libraries under one project. ",XD-3659,
Create a XD job definition when posting the DSL to create a spring batch job e.g. trigger job.xml option1 foo it should be stored in redis so that a listing of XD job definitions can be retrieved.,XD-366,
"UI Replace XD with Data Flow As a developer, I'd like to replace all references of Spring XD with Spring Cloud Data Flow. ",XD-3662,
"UI Replace Job references with Task As a developer, I'd like to replace all . ",XD-3664,
"UI Study PUI theming scope As a user, I'd like to use the admin ui and flo with consistent look and feel. ",XD-3666,
"UI Add SPI type and version to about section As a user, I'd like to see the version and SPI type in the about section, so I can confirm which build of I m currently using. ",XD-3668,
"Add Flo screenshots to Batch DSL section As a user, I'd like Flo Graphs as screenshots while referring to the batch DSL, so it will be easy for me to relate to concepts. ",XD-3669,
"Final review of REST API structure document for streams, taps and jobs Final review of REST API structure document for streams, taps and jobs Get closure on open discussion points for REST API wrt to streams, taps and jobs. Get closure on open discussion points for REST API wrt to streams, taps and jobs. ",XD-367,
"Spike Revisit the core design and document gaps As a developer, I'd like to revisit the existing design and identify known limitations and or the gaps. ",XD-3670,
"Spike Explore options to scale modules from shell As a user, I'd like to have direct shell commands to scale up down a given module instance, so I can avoid SPI specific CLI commands that needs run outside of data flow.",XD-3671,
"Move Mesos SPI to a separate repo As a developer, I'd like to submit a PR for existing work on Mesos SPI. ",XD-3672,
"Create admin artifact and CI build for Lattice As a developer, I'd like to create separate repo for Lattice SPI, so I don t have to bundle all SPI variants under one admin project.",XD-3675,
"Add undeployed status for CF SPI As a developer, I'd like to add state.",XD-3678,
"Add undeployed status for Lattice SPI As a developer, I'd like to add state.",XD-3679,
Improve connection handling in This is currently too chatty. It should be possible to use a single connection for each increment operation.,XD-368,
"Add consistent support for undeployed state across the deployers As a developer, I'd like to add support for . This is applicable for existing streams without any deployment context associated with it. ",XD-3680,
"Add undeployed status for k8s SPI As a developer, I'd like to add state.",XD-3681,
"Add undeployed status for Mesos SPI As a developer, I'd like to add state.",XD-3682,
Update default configs to support Composed Jobs Users want the ability to use Composed Jobs specifically parallel Jobs without having to update the configurations for the hsqldb and the Isolation Level for spring batch. These should be set by default. ,XD-3689,
Improve Server Configuration Database Configuration section Make it more clear what drivers need to be copied where. See ,XD-3690,
"Optimize YARN deployer As a developer, I'd like to optimize YARN deployer, so I can deploy stream and the modules part of the definition rapidly.",XD-3692,
Add Timestamp to XD Message History I don t recall why this commit was not applied to master but having the timestamp for each step in the history will be useful. See this github issue ,XD-3693,
"Upgrade to SI 4.2.2.GA As a developer, I'd like to upgrade to SI 4.2.2.GA release, so I can leverage the latest improvements.",XD-3696,
Gradle based multi project build multi project build. look to Spring Framework for source of starting point.,XD-37,
Add command for deploying a Stream Deploy a named stream. The stream must exist in the StreamRepository,XD-370,
"Improve Shell Connection Diagnostics When a problem occurs connecting to admin, we just get even if the connection is successful and some problem occurs when interpreting the result. The exception is eaten. Log an error including the exception. Currently investigating an NPE in DataFlowTemplate line 77.",XD-3701,
"Support partitioning for Kafka even if count 1 As a developer, I want to be able to set a partitioning key for the Kafka bus even when there is a single downstream module, so that I can take advantage of the native Kafka partitioning and message ordering support.",XD-3702,
"Bump Boot and spring cloud build Versions As a developer, I'd like to upgrade Boot and Spring Cloud Build revisions, so I can leverage the latest updates.",XD-3705,
"Document limitations with HSQL when using composed jobs As a developer, I'd want to document the limitations of HSQL DB when using composed jobs. ",XD-3708,
Command for creating a job Command for creating a job Command for creating a job optional autostart switch to also deploy the job optional autostart switch to also deploy the job optional autostart switch to also deploy the job,XD-371,
"Upgrade XD Ambari release to 1.3 As a developer, I'd like to upgrade Spring XD s ambari plugin to 1.3 release.",XD-3714,
"Move k8s SPI to a separate repo As a developer, I'd like to move k8s SPI to it s own repo.",XD-3715,
Command to deploy a job Command to deploy a job Command to deploy a job Deploy an existing job. Must exist in the JobsRepository Deploy an existing job. Must exist in the JobsRepository Deploy an existing job. Must exist in the JobsRepository,XD-372,
Command to create a tap Command to create a tap To store it s definition and optionally deploy with autostart flag To store it s definition and optionally deploy with autostart flag,XD-373,
Command to list taps Command to list taps ,XD-374,
Command to delete tap Command to delete tap Command to delete tap ,XD-375,
add create and deploy methods to JobsController add create and deploy methods to JobsController see Create the controller if it doesn t exist. Test with MvcTest see Create the controller if it doesn t exist. Test with MvcTest,XD-376,
add create and deploy methods to JobDeployer add create and deploy methods to JobDeployer see Create the deployer if it doesn t exist. see Create the deployer if it doesn t exist.,XD-377,
add create and deploy methods to StreamsController see create optionally deploys,XD-378,
add create and deploy methods to StreamDeployer see Refactor current ,XD-379,
Support in HDFS writing features for compression and popular serialization formats TODO break out into sub task or other stories.,XD-38,
add create and deploy methods to TapsController see create TapsController if necessary,XD-380,
add create and deploy methods to TapDeployer see ,XD-381,
Create TapRepository see StreamsRepository as an example. This includes in memory and Redis implementations,XD-382,
Implement list method on TapController Implement list method on TapController ,XD-383,
Implement list method on TapDeployer Implement list method on TapDeployer ,XD-384,
Error handling on Streams Have proper exceptions for common error cases on Stream and propagate those to clients correctly.,XD-385,
Refactor exception classes NAME?,XD-391,
Create a stubbed out job controller ,XD-392,
Add section to documentation that shows command line options available for each server This should likely be in the start the runtime section of Getting Started section.,XD-396,
"Document Monitoring Management Features This section should discuss what is exposed via JMX, how you can view it in JConsole, and how you can view it over http via Jolikia. in particular showing how some existing metrics for inbound message channel adapters or the inbound channel of the stream, that indicate the number of messages processed per section. ",XD-397,
Update Getting Started chapter to use Shell commands instead of curl See ,XD-398,
Update Getting Started chapter to include a section on starting the shell. The chapter on how to start up the shell should ocme right after start the runtime and before create the stream ,XD-399,
Build script that creates an executable server as an artifact Gradle application plugin is a good starting point. this should be the main server that would host SI based modules to do syslog file ingestion as an example ,XD-40,
"Update Streams Chapter to use shell commands instead of curl the current streams chapter shows creation and deleting streams using CURL switch to use shell. Also add listing of a stream. there is also an example of creating a stream, this should be replaced as well. ",XD-400,
"Create a shell command to post data to an http port for use with the http source module the current streams chapter shows using curl to post some data to a http source module, curl d hello create a shell command so curl doesn t have to be used. has a command already developed for this.",XD-401,
Create a command to browse the HDFS file system Create a command to browse the HDFS file system There are existing commands that can be taken from or that can be used for this There are existing commands that can be taken from or that can be used for this,XD-402,
Update Sources section to use Shell commands instead of curl See ,XD-403,
Update Sources tail section to use Shell commands instead of curl ,XD-405,
Update Sources twitter search section to use Shell commands instead of curl See ,XD-406,
Update Sources Gemfire CQ section to use Shell commands instead of curl See ,XD-407,
Update Source Syslog section to use Shell commands instead of curl See ,XD-408,
Update Sources TCP section to use Shell commands instead of curl See ,XD-409,
Update Processors Filter JSon Filed Value Filter section to use Shell commands instead of curl See ,XD-410,
Update Processors Transform section to use Shell commands instead of curl See ,XD-411,
Update Processors JSON Field Extractor section to use Shell commands instead of curl See ,XD-412,
Update Processors Script section to use Shell commands instead of curl See ,XD-413,
Update Sink s Log section to use Shell commands instead of curl See ,XD-414,
Update Sink s File section to use Shell commands instead of curl See ,XD-415,
Update Sink s HDFS section to use Shell commands instead of curl See ,XD-416,
Update Sink s TCP section to use Shell commands instead of curl See ,XD-417,
Update Sink s GemFire section to use Shell commands instead of curl See ,XD-418,
Taps introduction section should show use of shell to create a real stream and a real tap using the shell See The existing docs should be made to show a real stream being created with filter and or transformer and then a tap that goes to logging. The shell syntax to also stop undeploy a tap should be shown here as well since the lifecycle is discussed.,XD-419,
Documentation for AggregateCounter Add section to Analytics chapter on use of AggregateCounter. The example should show the use of the shell to create the tap that uses the AggregateCounter.,XD-420,
Update Analytics Counter section to use Shell commands instead of curl ,XD-421,
Update Analytics Field Value Counter section to use Shell commands instead of curl ,XD-422,
Update Analytics Gauge section to use Shell commands instead of curl ,XD-423,
Update Analytics Rich Gauge section to use Shell commands instead of curl ,XD-424,
Update Samples syslog ingestion section to use Shell commands instead of curl ,XD-425,
Update Creating a Processor Module section to use Shell commands instead of curl test the deployed module sub section uses curl.,XD-426,
Update Creating a Source Module section to use Shell commands instead of curl See ,XD-427,
Update Creating a Sink Module section to use Shell commands instead of curl See ,XD-428,
Metric repositories should support Spring Data CrudRepository interface This provides common CRUD behavior and a shared interface that can be useful in testing scenarios. ,XD-43,
Use a Different Default Jolokia Port for Admin Vs. Container Avoid the need for on the same server,XD-430,
Make String conversion optional with local transport ,XD-431,
User wants to configure MessageBus XD 162 requires registering message converters with the ChannelRegistry. End user needs to configure this statically as the Spring configuration is not exposed.,XD-432,
"Homogenize Container Initialization Failures If Redis is not running, the container fails to initialize in because the connection factory attempts to eagerly connect. If RabbitMQ is not running, the container fails to initialize in . Make the failure behavior consistent from a user perspective and add a spring retry to retry container startup.",XD-433,
Create tests to load the standard runtime app context configurations The basic launch configurations should be tested automatically to ensure that startup scripts and launch aren t broken by changes.,XD-435,
Decouple s with runtime dependencies,XD-436,
Fix Package Tangles Looking at the latest Sonar run we have 3 package tangles in Spring XD ,XD-437,
Redis based repositories should use a NamingStrategy class to calculate the name of the key to use for persistence and have duplicated code that needs to be factored out into a one place. One such duplication is the determination of the key name to use for persistence. This should be abstracted out into a strategy helper class.,XD-44,
More DSL work Documentation updates for new format Once issues like XD 438 have been completed the wiki doc will need updates to reflect the current behaviour and syntax options.,XD-442,
"Make Redis Rabbit Rules Conditional Dependent servers should be required on the CI server, but optional on developer systems.",XD-444,
Add support to set the read timeout for http request We need to have the ability to set read timeout for http request. This is already implemented here ,XD-445,
Add an MQTT Sink ,XD-447,
The user needs the ability to set up a end time where the trigger should no longer be in effect. ,XD-448,
The user needs the ability to set up a misfire policy for a Trigger 2 options are 1 Fire the trigger immediate Launch the job when trigger can gather the resources necessary start the job 2 Do nothing Ignore this job fire time and catch this scenario can occur if XD is down or resources threads are not available at the time a job is to be launched. ,XD-449,
"Remove the expiry of keys in Redis based repositories There is duplicated code in Redis based repositories that related to expiry behavior, move into a common shared helper class and or base class.",XD-45,
User wants the ability to persist the final state of a job success or failure ,XD-452,
Use wants the ability to persist Trigger Context ,XD-453,
User wants the ability to persist the state of a Trigger Instance ,XD-454,
User wants the ability to limit the total number of jobs a trigger can have running simultaneously ,XD-455,
User wants the ability to limit the total number of jobs running simultaneously ,XD-456,
"User wants to setup a priority for triggers. In the case that there are not enough resources to fire a trigger, the highest priority will be fired first.",XD-457,
User wants the ability to exclude certain days like holidays for a trigger to fire. Commonly called Calendar support ,XD-458,
The user needs the ability to pause and resume triggers ad hoc. A pause means that a trigger will wait to fire its job until after the pause is removed. It does not apply the misfire behavior. ,XD-459,
The user needs the ability to pause and resume triggers based on a calendar. ,XD-460,
User wants to be able to know what triggers are associated with a job ,XD-461,
User wants a list of currently executing jobs ,XD-462,
Add JSON conversion to tuple Support toString to emit JSON by default. Should be backed by a simple strategy to allow the possibility of other representations. Also provide toTuple String json . This supports seamless mapping JSON Tuple in XD,XD-466,
Upgrade to spring data hadoop 1.0.1.RC1 spring data hadoop 1.0.1.RC1 provides flavors for commonly used Hadoop distros versions and we should make use of that.,XD-469,
Create JDBC sink we need a JDBC sink for writing to HAWQ using and postgresql JDBC driver ,XD-470,
Batching JDBC channel adapter we need a batching JDBC channel adapter is not batching statements AFAICT ,XD-471,
Add spring xd hadoop distro specific sub projects we need to modify build adding two sub projects for spring xd hadoop one for hadoop 1.1.2 and one for phd1 Pivotal HD to pull in transitive dependencies for correct Hadoop distro,XD-472,
Modify startup script of to allow specifying hadoop distro to use we need to modify startup script to use hadoop 1.1.2 as default or phd1 when specified with hadoopDistro phd1,XD-473,
Create JSON to tab delimited text transformer script We need a generic script that can do JSON to tab delimited text transformation for data written to HDFS HAWQ external tables. Users should be able to specify columns fields to be included.,XD-474,
"Support pagination in list command for streams Spring HATEOAS is here to help. Nonetheless, there are currently a number of outstanding issues, namely Creating a issue here for future reference",XD-477,
Add conversion support to ChannelRegistrar and ChannelRegistry Implements automatic conversion. Provide APIs to channel registry to register Payload conversion. Includes Redis and Rabbit transport.,XD-479,
Job Delete Destroy Command for shell ,XD-483,
All controllers to return XYZResource objects not the raw domain objects. Resource objects should be returned from all controller methods. MVC Tests should be added to check returned values.,XD-486,
"StreamsController to return paged results for list See implementation used for Steams and apply to jobs, taps, triggers.",XD-487,
"Rename controllers to have pluralized named e.g. JobsController See implementation used for Steams and apply to jobs, taps, triggers.",XD-488,
Introduce distinction between TapDefinition and Tap the instance Rename existing Tap class to something else.,XD-489,
"Move Redis Queue Channel Adapters into Currently these implementations are in the spring xd dirt module, but they should be moved into We are already depending upon Spring Integration 3.0 snapshots since the ChannelRegistry implementation is not yet at a milestone, so this should be okay for the Redis Channel Adapters also until Spring Integration M2 is released.",XD-49,
"StreamDeployer to implement ResourceDeployer StreamController to not access the repository instance directly, all access to go through StreamDeployer ",XD-490,
"Exception Consistency Favor using custom exceptions instead of using Assert.notNull, review usage and make changes. Eg. if a stream can t be found or another definition a instead of Assert.Null on the return value of a findOne method ",XD-491,
Rename create to save in ResourceDeployer To be consistent with Spring Data Repository method names.,XD-492,
"Remove duplicate code in ResourceDeployer implementations, create abstract base class. Only create in TapDeployer has some additional code to check if the stream exists, could take place in another location.",XD-493,
Implement common set of controller methods Save Save a XYZDefinition method used to be create Delete Delete a XYZDefinition method used to be called destroy Deploy Deploy a XYZDefinition Undeploy Undeploy a XYZDefinition List List a XYZDefinition Returns Display Get specific information about a XYZDefinition Create other stories for each Controller and include in this weeks sprint ,XD-494,
Document MQTT Source and Sink ,XD-495,
"Disable Collection to Object conversion in DefaultTuple provides Collection Object conversion which will produce the first item if the target type matches. Here, this results in an unfortunate side effect, list would return a Tuple which is misleading. In this case it is preferable to treat it as an error if the argument is not a Tuple.",XD-496,
"Fix Sonar build! Caused by that weird annotation dependency problem that I worked around for compile. But Sonar complains. One solution would be to add Jackson 2 to the Sonar classpath , but I did not manage to do that. ",XD-497,
Better UX when admin is not running Current behavior is to just have a prompt of unknown I think any return value of a CliCommand method is not shown b c the whole infrastructure is not up at that time,XD-498,
Add tap support to DIRT syntax tap somechannel key value somecounter ,XD-50,
Stream Plugin cleanup public StreamPlugin CHANNEL REGISTRY; Subclasses should not directly update superclass fields.,XD-501,
Delete a trigger from Shell Shell command to delete a trigger. Note this command will only remove the trigger definition not modifying the jobs that use the trigger.,XD-502,
Add How to Build Spring XD instructions to the documentation We need to determine where this information could fit in. It can be either in README at the project home page or Getting started wiki page.,XD-504,
"Fix XD modules parameters with to use camel case XD 482 addresses the use of camel case in fixed delay job module parameter name. and, we need to fix the same for other module parameters wherever is being used. ",XD-505,
Support pagination in list command for jobs See XD 477,XD-506,
Support pagination in list command for taps See XD 477,XD-507,
Support pagination in list command for triggers See XD 477,XD-508,
Add xd.stream.name property in StreamPlugin ,XD-51,
Ensure that each controller s list returns PagedResources ,XD-510,
"Create XD integration test framework Add top level utility methods to manage XD runtime deploy, start and stop . These methods will be used by underlying integration tests to control runtime test environment. ",XD-511,
Add CI job in bamboo to run XD integration tests CI job will run integration tests that are tagged for CI build.,XD-513,
Create proper test coverage for Controllers,XD-514,
Upgrade to Jackson 2.2.2 ,XD-518,
Modules need to validate their parameters at create time. We need to fail fast.,XD-519,
add twitter search source module ,XD-52,
All parameters for modules need to use hump case formerly camel hump ,XD-520,
Update jobs section to use shell ,XD-524,
Provide .settings formatting rules so that they re shared Thinking about using the official SpringSource rules as a template,XD-525,
"Make module files classpath aware Currently, living at the root of the project, those files don t benefit from IDE SI awareness. s used. Has impact on the build.gradle file",XD-526,
Create SI components that wrap Reactor s TCP server ,XD-528,
Review existing Reactor syslog codec implementation ,XD-529,
Design and document desired high level DSL for configuring data processing in XD Start to explore how the DSL can cover both advanced non linear spring integration flows as well as spring batch jobs.,XD-53,
Create XD module for syslog tcp reactor Still keep existing one.,XD-530,
Check for high CPU usage with syslog tcp reactor module ,XD-531,
Adapt SpringOne 2012 UI code from keynote demo of election results to use XD Existing code ,XD-532,
"Create shell integration tests for stream lifeycle create, delete, deploy streams...",XD-533,
"Create shell integration tests for tap lifeycle creating taps, deleting",XD-534,
"Create shell integration tests for trigger lifeycle creating triggers, deleting triggers",XD-535,
"Create shell integration tests for job lifeycle creating job defs, deploying jobs, undeploying jobs, deleting job defs",XD-536,
"Develop infrastructure to enable testability of commands This requires to boostrap the singlenode admin server in process, submit commands to the shell programmatically, and assert on the results of executing the command.",XD-538,
Investigate using Redis txs and pipeline for Inbound Outbound Q Adapter perf improvements Investigate using transactions and pipelining to improve performance of both the inbound and outbound RedisQueue channel adapters. Involves testing against a pre release of SDR 1.1 M2.,XD-539,
XD Metrics backed Message Counter A Spring Integration based ServiceActivator that counts the number of messages using the Spring XD metrics support,XD-54,
"Broadcast Undeploy Requests Use an undeploy topic to broadcast undeploy requests to all containers. Applies to Redis and Rabbit transports, not local. Also, rename .",XD-540,
Add Message Source for error messages returned to users ,XD-541,
"Refactor Module to Encapsulate Group and Index Currently many methods take module, group, index defining a module instance; group and index can be encapsulated in so one arg can be passed around.",XD-542,
Handle Pagination in Spring XD Shell ,XD-543,
Display a Field Value Counter ,XD-546,
Display an Aggregate Counter ,XD-547,
Display a Rich Gauge ,XD-549,
"SI ServiceActivator for an XD Metrics backed Field Value Counter A Spring Integration based ServiceActivator that counts the occurrence of field names, from either a tuple data structure or a POJO, using the Spring XD metrics support.",XD-55,
"Leverage in was first written to support setting several fields at once, but the current constructor does not use it. Either leverage that feature or simplify code",XD-550,
Add trigger list support to Spring XD Shell ,XD-551,
"Add additional options to File source Seems like the current file source results from an initial POC. Very few things can be parameterized, including the polled directory that needs to be in tmp xxx To be useful in production, we might want to revisit",XD-553,
"Separate Module Context Refresh from Context Start Split plugin module processing into pre and post processing where preprocessing is done before the context is refreshed and post processing is done after the refresh, but before the start. In the Stream plugin, wire the module into the .",XD-554,
"make application json the default output type for the REST API? the top level URL works via simple curl without an Accept header or the browser curl However, trying any of those links then fails, e.g. curl ?xml version 1.0 encoding UTF 8 xmlns ns2 not marshal null; nested exception is with linked exception unable to marshal type as an element because it is not known to this ",XD-555,
"HTML Doco has font issues for It seems the html rendering of documentation is using a variable width font for some of the code esp. apparently rendering. Weird thing though is that when mouse hovering over some of them, they went back to fixed width. See screenshot. ",XD-557,
"Create IntegralMetric and IntegralResource types There is some overlap between the gauge and counter repository types and also between the domain resources used by the REST controllers CounterResource, GaugeResource . The aggregate counter may wish to return a simple count value for the counter too, which would also be a simple integral value.",XD-558,
Send failing sonar build message to spring xd mailing list. ,XD-559,
Switch to use Lettuce driver for Redis Replace the use of Jedis with Lettuce as it has higher performance,XD-56,
"Failure when creating deploying stream leaves invalid stream in the Repository implementations. reproduce 1 Create a bad stream definition name bad Try to recreate with the same name, but correct stream definitions. The system will report that the stream already exists. ",XD-561,
Documentation for use of conversion service and creating custom processing modules that use the Tuple data structure. ,XD-562,
Regression test existing functionality of stream taps based on introduction of new conversion functionality make sure nothing is broken spot check using. 1 ticktock 2 twitter 3 gemfire ,XD-563,
Upgrade sink and processor modules to use new conversion service ,XD-564,
Documentation for using a specific Hadoop distribution Show how to select a specific hadoop distribution when starting XDContainer.,XD-565,
Documentation for fixed rate triggers ,XD-567,
Documentation for deleting triggers ,XD-568,
Investigate failures to start a stream when using named channels. Create a reproducible series of steps or shell integration test. ,XD-569,
"Test composition parameterize composition of modules DSL should be able to parse what is below, need tests CLI integration tests to ensure it is being mapped to an executeable stream. myIntricateFlow transform transform http myIntricateFlow file obfuscateName transform ,XXX twitter query Bieber obfuscateName name Justin file ",XD-570,
Create shell integration test for named chanels Expected usage ATM would be sink channel called foo http transform foo source channel called foo foo count file,XD-571,
Prepare Blog post for XD M2 ,XD-572,
Replace usage of raw curl with shell command to post http data in documentation e.g. httpsource target data 10 I believe this will also help to avoid ugly syntax to escaping quotes for json as in the gemfire example.,XD-574,
Change banner of shell to say only xd ,XD-576,
"In documentation, replace usage of raw hadoop command with shell hadoop commands ",XD-577,
"Can t access HDFS using webhdfs protocol config fs namenode fs ls Hadoop configuration changed, re initializing shell... run HDFS shell failed. Message is This was on a hadoop 1.0.1 install The hdfs http interface was available curl i HTTP 1.1 200 OK Content Type application json Transfer Encoding chunked Server Jetty 6.1.26 ",XD-578,
Modify startup script of xd shell to allow specifying hadoop distro to use ,XD-579,
XD Shell needs to support multiple Hadoop distros From The command shell needs to also support different hadoop distribution options. Perhaps the shell just uses a relative path to the location of ,XD-580,
"configuration conflict when using transport , local , store , redis , disableJmx , true , analytics , redis results in both in memory and redis based definitions of RichGaugeService can t satisfy autowiring because there are two candidates. Had to change analytics memory to get the application context to load.",XD-581,
"Support named channels when using local transport Sending data to an incomplete stream which is created using a named sink channel only works when using Redis or Rabbit?, not tested . Since the in memory version doesn t use a queue, it will fail if you are using xd singlenode. We should use a queue channel with unlimited capacity to allow messages to be sent before the full stream is created.",XD-582,
Document queue channel capacity configurable when using local transport ,XD-586,
Create a abstract base class for rest controllers ,XD-587,
"doesn t give proper results back Both Luke s original code and my refactored PR which uses same code snippet seem to behave strangely. Stored values seem fine, but the getCounts method seems phony. To test 1 stream create foo definition time log 2 tap create bar definition tap foo aggregatecounter 3 curl H application json this gives default bucketing hourly but chances are that they are empty. ",XD-588,
Create that will destory streams that were created during test method execution Keep track of named streams that were create and use After to destroy them.,XD-589,
"Tuple should support storing nested tuples Nested tuple structures shoudl be supported, getTuple int index , getTuple String name ",XD-59,
Improve build file distribution tasks The current flow of gradle tasks is confusing. Suggest the following changes to simplify the flow. 1. Move the current task logic in zipXD to distZip 2. Have distZip depend on dist 3. Update the how to build docs on the wiki 4. Make sure that the distZip task only shows up once in the list of gradle target. ,XD-591,
Add counter delete shell command Add counter delete shell command. This also requires implementation of DELETE rest end point at CountersController.,XD-593,
"Create list delete commands for all the metrics We need to add list delete commands for the metrics FieldValueCounter Gauge RichGauge Currently, the class has the delete method to delete the metric from the repository. We can probably use the same for all the metrics.",XD-594,
Fix wiki documentation to use xd shell command prompt to read xd We need to fix the github wiki to use the xd shell command prompt xd .,XD-595,
"Add CONTRIBUTING.md file Add CONTRIBUTING.md file, use the Spring Integration file as the basis.",XD-596,
Ad Hoc Job needs to have option for launch and forget When running an ad hoc job without the use of a trigger adhoc or named . The user has to wait for job to complete before receiving a success. We need to launch a job and get a success back to the user letting them know the job has been launched. for example immediate,XD-597,
